country,pop,continent,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007,pop2007,lifeExp2007
Kenya,35610177.0,Africa,853.5409189999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.249282,35610177.0,59.339
Lesotho,2046772.0,Africa,298.8462121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1569.331442,2046772.0,59.685
Liberia,3193942.0,Africa,575.5729961000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0054535,3193942.0,46.027
Libya,6036914.0,Africa,2387.54806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21951.21176,6036914.0,73.952
Madagascar,19167654.0,Africa,1443.011715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.562982,19167654.0,59.44300000000001
Malawi,13327079.0,Africa,369.1650802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.3499101,13327079.0,49.42
Mali,12031795.0,Africa,452.3369807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.581557,12031795.0,54.467
Mauritania,3270065.0,Africa,743.1159097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803.151496,3270065.0,64.164
Mauritius,1250882.0,Africa,1967.955707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10956.99112,1250882.0,72.801
Morocco,33757175.0,Africa,1688.20357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3820.17523,33757175.0,71.164
Mozambique,19951656.0,Africa,468.5260381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.6856205,19951656.0,46.344
Namibia,2055080.0,Africa,2423.780443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4811.060429,2055080.0,61.999
Niger,12894865.0,Africa,761.879376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.384891,12894865.0,56.867
Nigeria,135031164.0,Africa,1077.281856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.977305,135031164.0,47.472
Reunion,798094.0,Africa,2718.885295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7670.122558,798094.0,76.442
Rwanda,8860588.0,Africa,493.3238752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.5706467,8860588.0,46.242
Sao Tome and Principe,199579.0,Africa,879.5835855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890.218117,199579.0,65.528
Senegal,12267493.0,Africa,1450.356983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1712.472136,12267493.0,63.062
Sierra Leone,6144562.0,Africa,879.7877358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.010784,6144562.0,42.56800000000001
Somalia,9118773.0,Africa,1135.749842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.992513,9118773.0,48.159
South Africa,44433622.0,Africa,4725.295531000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9269.657808,44433622.0,61.88800000000001
Sudan,42292929.0,Africa,1615.991129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2602.394995,42292929.0,58.556
Swaziland,1133066.0,Africa,1148.376626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4513.480643,1133066.0,58.474
Tanzania,38139640.0,Africa,716.6500721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.482182,38139640.0,52.517
Togo,5701579.0,Africa,859.8086567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649.660188,5701579.0,58.42
Tunisia,10276158.0,Africa,1468.475631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7092.923025,10276158.0,73.923
Uganda,29170398.0,Africa,734.753484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.380121,29170398.0,51.542
Zambia,11746035.0,Africa,1147.388831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777.077318,11746035.0,51.82100000000001
Zimbabwe,12311143.0,Africa,406.8841148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.3621757999998,12311143.0,62.351000000000006
